"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"GRM1555C1HR80BA01D","Murata Electronics North America","490-6269-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.11000","$0.55","178116","Not Available","CAP CER 0.8PF 50V C0G/NP0 0402","RoHS Compliant","Lead free","Not Available",""
"GRM1555C1H1R2BA01D","Murata Electronics North America","490-6209-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","272251","Not Available","CAP CER 1.2PF 50V C0G/NP0 0402","RoHS Compliant","Lead free","Not Available",""
"GRM1555C1H1R2BA01D","Murata Electronics North America","490-6209-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","272251","Not Available","CAP CER 1.2PF 50V C0G/NP0 0402","RoHS Compliant","Lead free","Not Available",""
"GRM1555C1H101JA01D","Murata Electronics North America","490-5922-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","8873995","Not Available","CAP CER 100PF 50V C0G/NP0 0402","RoHS Compliant","Lead free","Not Available",""
"GRM1555C1HR50WA01D","Murata Electronics North America","490-6264-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.12000","$0.60","739750","Not Available","CAP CER 0.5PF 50V C0G/NP0 0402","RoHS Compliant","Lead free","Not Available",""
"GRM155R71E103KA01D","Murata Electronics North America","490-1312-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","12148625","Not Available","CAP CER 10000PF 25V X7R 0402","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"GRM155R71E103KA01D","Murata Electronics North America","490-1312-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","12148625","Not Available","CAP CER 10000PF 25V X7R 0402","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"GRM155R71C104KA88D","Murata Electronics North America","490-3261-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","153424307","Not Available","CAP CER 0.1UF 16V X7R 0402","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"GRM155R61A474KE15D","Murata Electronics North America","490-3264-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.13000","$0.65","420281","Not Available","CAP CER 0.47UF 10V X5R 0402","RoHS Compliant","Lead free","Not Available",""
"GRM155R71C104KA88D","Murata Electronics North America","490-3261-1-ND","","","Cut Tape (CT)","Not For New Designs","5","0.10000","$0.50","153424307","Not Available","CAP CER 0.1UF 16V X7R 0402","RoHS Compliant","Lead free","Not Available","Tariff Applied"
"LQW15AN3N0B80D","Murata Electronics North America","490-14712-1-ND","","","Cut Tape (CT)","Active","5","0.25000","$1.25","1664","8 Weeks","FIXED IND 3NH 1.35A 63 MOHM SMD","RoHS Compliant","Lead free","REACH Unaffected",""
"LQW15AN2N5C00D","Murata Electronics North America","490-6798-1-ND","","","Cut Tape (CT)","Active","5","0.22000","$1.10","16498","8 Weeks","FIXED IND 2.5NH 850MA 50 MOHM","RoHS Compliant","Lead free","Not Available",""
"MLZ2012M150WT000","TDK Corporation","445-6397-1-ND","","","Cut Tape (CT)","Active","5","0.14000","$0.70","15","10 Weeks","FIXED IND 15UH 250MA 950 MOHM","RoHS Compliant","Lead free","REACH Unaffected",""
"SX1281IMLTRT","Semtech Corporation","SX1281IMLTRTCT-ND","","","Cut Tape (CT)","Active","2","6.47000","$12.94","2776","8 Weeks","IC RF TXRX 802.15.4 24WFQFN","RoHS Compliant","Lead free","Not Available",""
"NX2016SA-52MHZ-EXS00A-CS07103","NDK America, Inc.","644-1381-1-ND","","","Cut Tape (CT)","Active","5","0.86000","$4.30","2595","12 Weeks","CRYSTAL 52MHZ 10PF SMD","RoHS Compliant","Lead free","Not Available",""
