Id;Designator;Package;Quantity;Designation;Supplier and ref;
9;C1,C6,C8,C10,C12,C13,C18,C19,C20,C21;C_0402_1005Metric;10;0.1uF;Digikey;0402ZD104KAT2A?
2;JP10,JP5,JP7,JP1,JP6,JP8,JP9,JP11,JP2;SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm;9;Jumper;Digikey;QPC02SXGN-RC 
5;R17,R15,R14,R16,R13,R11,R12;R_0805_2012Metric;7;TBD;Digikey;None
3;C9,C2,C7,C14,C16,C17;CP_Elec_4x5.4;6;10uF;Digikey;UUQ1A100MCL1GB
4;R6,R1,R10;R_0603_1608Metric;3;50R;Digikey;CRCW060350R0FKEA
6;R5,R4,R9;R_0603_1608Metric;3;1k;Digikey;RC0603JR-071KL
17;TP3,TP1,TP2;TestPoint_Pad_1.0x1.0mm;3;TestPoint;Digikey;None
7;C11,C15;C_0402_1005Metric;2;20pF;Digikey;08051A200JAT2A
13;R7,R8;R_0402_1005Metric;2;10R;Digikey;RC0402FR-0710RL
1;U2;MSOP-8_3x3mm_P0.65mm;1;AD8138;Digikey;AD8138ARMZ
8;C23;C_0402_1005Metric;1;15pF;Digikey;04025A150FAT2A
10;C22;C_0805_2012Metric;1;1uF;Digikey;08053C105KAT2A
11;R2;R_0603_1608Metric;1;1R;Digikey;RC0603FR-071RL
12;R3;R_0805_2012Metric;1;25R;Digikey;PTN0805E25R0BST1
14;U1;TSSOP-28_4.4x9.7mm_P0.65mm;1;AD9203;Digikey;AD9203ARUZ
15;U3;Oscillator_SMD_SiT8208-4Pin_3.2x2.5mm_P0.75mm;1;SIT8208AI-2F-33E-27.000000Y;Digikey;SIT8208AI-2F-33E-27.000000Y
16;J2;PinHeader_1x04_P2.54mm_Vertical;1;Conn_01x04_Male;Digikey;
18;J1;PinHeader_1x14_P2.54mm_Vertical;1;Conn_01x14_Male;Digikey;
